Position,Variable,Start,End,Length
17-17,Q1,17,17,1
18-18,Q2,18,18,1
19-19,Q3,19,19,1
20-20,Q4,20,20,1
21-28,Q5,21,28,8
29-32,Q6,29,32,4
33-38,Q7,33,38,6
39-39,Q8,39,39,1
40-40,Q9,40,40,1
41-41,Q10,41,41,1
42-42,Q11,42,42,1
43-43,Q12,43,43,1
44-44,Q13,44,44,1
45-45,Q14,45,45,1
46-46,Q15,46,46,1
47-47,Q16,47,47,1
48-48,Q17,48,48,1
49-49,Q18,49,49,1
50-50,Q19,50,50,1
51-51,Q20,51,51,1
52-52,Q21,52,52,1
53-53,Q22,53,53,1
54-54,Q23,54,54,1
55-55,Q24,55,55,1
56-56,Q25,56,56,1
57-57,Q26,57,57,1
58-58,Q27,58,58,1
59-59,Q28,59,59,1
60-60,Q29,60,60,1
61-61,Q30,61,61,1
62-62,Q31,62,62,1
63-63,Q32,63,63,1
64-64,Q33,64,64,1
65-65,Q34,65,65,1
66-66,Q35,66,66,1
67-67,Q36,67,67,1
68-68,Q37,68,68,1
69-69,Q38,69,69,1
70-70,Q39,70,70,1
71-71,Q40,71,71,1
72-72,Q41,72,72,1
73-73,Q42,73,73,1
74-74,Q43,74,74,1
75-75,Q44,75,75,1
76-76,Q45,76,76,1
77-77,Q46,77,77,1
78-78,Q47,78,78,1
79-79,Q48,79,79,1
80-80,Q49,80,80,1
81-81,Q50,81,81,1
82-82,Q51,82,82,1
83-83,Q52,83,83,1
84-84,Q53,84,84,1
85-85,Q54,85,85,1
86-86,Q55,86,86,1
87-87,Q56,87,87,1
88-88,Q57,88,88,1
89-89,Q58,89,89,1
90-90,Q59,90,90,1
91-91,Q60,91,91,1
92-92,Q61,92,92,1
93-93,Q62,93,93,1
94-94,Q63,94,94,1
95-95,Q64,95,95,1
96-96,Q65,96,96,1
97-97,Q66,97,97,1
98-98,Q67,98,98,1
99-99,Q68,99,99,1
100-100,Q69,100,100,1
101-101,Q70,101,101,1
102-102,Q71,102,102,1
103-103,Q72,103,103,1
104-104,Q73,104,104,1
105-105,Q74,105,105,1
106-106,Q75,106,106,1
107-107,Q76,107,107,1
108-108,Q77,108,108,1
109-109,Q78,109,109,1
110-110,Q79,110,110,1
111-111,Q80,111,111,1
112-112,Q81,112,112,1
113-113,Q82,113,113,1
114-114,Q83,114,114,1
115-115,Q84,115,115,1
116-116,Q85,116,116,1
117-117,Q86,117,117,1
118-118,Q87,118,118,1
119-119,Q88,119,119,1
120-120,Q89,120,120,1
121-121,Q90,121,121,1
122-122,Q91,122,122,1
123-123,Q92,123,123,1
124-124,Q93,124,124,1
125-125,Q94,125,125,1
126-126,Q95,126,126,1
127-127,Q96,127,127,1
128-128,Q97,128,128,1
129-129,Q98,129,129,1
130-130,Q99,130,130,1
